,revid,parentid,user,userid,timestamp,size,anon,userhidden,page_id
0,910777336,0,Matthew hk,727505.0,2019-08-14T11:13:43Z,3713,,,61512934
1,910777598,910777336,Matthew hk,727505.0,2019-08-14T11:16:52Z,4002,,,61512934
2,910778388,910777598,Matthew hk,727505.0,2019-08-14T11:26:44Z,3712,,,61512934
3,910778634,910778388,Matthew hk,727505.0,2019-08-14T11:30:09Z,5027,,,61512934
4,910778749,910778634,Matthew hk,727505.0,2019-08-14T11:31:28Z,5046,,,61512934
5,910779040,910778749,Matthew hk,727505.0,2019-08-14T11:35:21Z,5580,,,61512934
6,910780092,910779040,Matthew hk,727505.0,2019-08-14T11:47:19Z,6575,,,61512934
7,910780526,910780092,Matthew hk,727505.0,2019-08-14T11:52:28Z,7205,,,61512934
8,910780934,910780526,Matthew hk,727505.0,2019-08-14T11:56:53Z,7205,,,61512934
9,910780991,910780934,Matthew hk,727505.0,2019-08-14T11:57:31Z,7259,,,61512934
10,910781395,910780991,Matthew hk,727505.0,2019-08-14T12:00:49Z,7296,,,61512934
11,910782480,910781395,Matthew hk,727505.0,2019-08-14T12:12:05Z,7985,,,61512934
12,910782558,910782480,Matthew hk,727505.0,2019-08-14T12:12:43Z,8055,,,61512934
13,910782775,910782558,Matthew hk,727505.0,2019-08-14T12:14:51Z,8236,,,61512934
14,910782853,910782775,Matthew hk,727505.0,2019-08-14T12:15:33Z,8256,,,61512934
15,910784037,910782853,Matthew hk,727505.0,2019-08-14T12:27:30Z,8560,,,61512934
16,910784256,910784037,Matthew hk,727505.0,2019-08-14T12:29:43Z,8567,,,61512934
17,910784307,910784256,Matthew hk,727505.0,2019-08-14T12:30:16Z,8568,,,61512934
18,910784501,910784307,Matthew hk,727505.0,2019-08-14T12:31:46Z,8600,,,61512934
19,910787022,910784501,AnomieBOT,7611264.0,2019-08-14T12:52:18Z,8617,,,61512934
20,910823522,910787022,61.79.134.182,0.0,2019-08-14T18:10:41Z,8677,True,,61512934
21,910826711,910823522,Matthew hk,727505.0,2019-08-14T18:35:42Z,8678,,,61512934
22,910826796,910826711,Matthew hk,727505.0,2019-08-14T18:36:28Z,8679,,,61512934
23,910876828,910826796,Wbm1058,14383484.0,2019-08-15T02:40:32Z,8661,,,61512934
24,910901021,910876828,Matthew hk,727505.0,2019-08-15T07:57:24Z,8704,,,61512934
25,910901182,910901021,Matthew hk,727505.0,2019-08-15T07:59:11Z,8800,,,61512934
26,911063061,910901182,Matthew hk,727505.0,2019-08-16T09:10:17Z,8902,,,61512934
27,911063674,911063061,Matthew hk,727505.0,2019-08-16T09:17:01Z,9249,,,61512934
28,911063700,911063674,Matthew hk,727505.0,2019-08-16T09:17:20Z,9251,,,61512934
29,911065104,911063700,Matthew hk,727505.0,2019-08-16T09:29:03Z,9608,,,61512934
30,911066098,911065104,Matthew hk,727505.0,2019-08-16T09:37:48Z,10095,,,61512934
31,911068136,911066098,Matthew hk,727505.0,2019-08-16T09:42:55Z,10286,,,61512934
32,911085445,911068136,Matthew hk,727505.0,2019-08-16T12:01:40Z,20743,,,61512934
33,911088288,911085445,Matthew hk,727505.0,2019-08-16T12:29:13Z,21083,,,61512934
34,911089280,911088288,Matthew hk,727505.0,2019-08-16T12:38:15Z,21718,,,61512934
35,911089771,911089280,Matthew hk,727505.0,2019-08-16T12:42:40Z,21916,,,61512934
36,911089962,911089771,Matthew hk,727505.0,2019-08-16T12:44:22Z,21938,,,61512934
37,911090061,911089962,Matthew hk,727505.0,2019-08-16T12:45:21Z,21953,,,61512934
38,911090734,911090061,Matthew hk,727505.0,2019-08-16T12:51:25Z,22137,,,61512934
39,911090835,911090734,Matthew hk,727505.0,2019-08-16T12:52:15Z,22161,,,61512934
40,911091011,911090835,Matthew hk,727505.0,2019-08-16T12:54:14Z,22192,,,61512934
41,911091068,911091011,Matthew hk,727505.0,2019-08-16T12:54:47Z,22200,,,61512934
42,911091331,911091068,Matthew hk,727505.0,2019-08-16T12:57:30Z,22187,,,61512934
43,911094477,911091331,Matthew hk,727505.0,2019-08-16T13:27:48Z,24833,,,61512934
44,911095257,911094477,Matthew hk,727505.0,2019-08-16T13:35:01Z,25015,,,61512934
45,911095373,911095257,Matthew hk,727505.0,2019-08-16T13:36:14Z,25016,,,61512934
46,911095801,911095373,Matthew hk,727505.0,2019-08-16T13:40:05Z,25400,,,61512934
47,911095893,911095801,Matthew hk,727505.0,2019-08-16T13:40:53Z,25356,,,61512934
48,911095988,911095893,Matthew hk,727505.0,2019-08-16T13:41:47Z,25179,,,61512934
49,911096021,911095988,Matthew hk,727505.0,2019-08-16T13:42:06Z,25174,,,61512934
50,911106416,911096021,Matthew hk,727505.0,2019-08-16T15:05:21Z,26167,,,61512934
51,911120413,911106416,Matthew hk,727505.0,2019-08-16T16:58:45Z,26595,,,61512934
52,911138084,911120413,Matthew hk,727505.0,2019-08-16T19:26:21Z,26598,,,61512934
53,911138204,911138084,Matthew hk,727505.0,2019-08-16T19:27:23Z,26624,,,61512934
54,911138252,911138204,Matthew hk,727505.0,2019-08-16T19:27:50Z,26650,,,61512934
55,911138328,911138252,Matthew hk,727505.0,2019-08-16T19:28:37Z,26685,,,61512934
56,911224852,911138328,Mariogoods,34143604.0,2019-08-17T12:01:36Z,26675,,,61512934
57,911224967,911224852,Mariogoods,34143604.0,2019-08-17T12:02:43Z,26697,,,61512934
58,911225038,911224967,Mariogoods,34143604.0,2019-08-17T12:03:27Z,25263,,,61512934
59,911225089,911225038,Mariogoods,34143604.0,2019-08-17T12:04:10Z,26685,,,61512934
60,911225107,911225089,Mariogoods,34143604.0,2019-08-17T12:04:24Z,26686,,,61512934
61,911225184,911225107,Mariogoods,34143604.0,2019-08-17T12:05:27Z,26696,,,61512934
62,911225261,911225184,Mariogoods,34143604.0,2019-08-17T12:06:30Z,26755,,,61512934
63,911226955,911225261,AnomieBOT,7611264.0,2019-08-17T12:27:18Z,26789,,,61512934
64,911342576,911226955,Matthew hk,727505.0,2019-08-18T08:43:35Z,27162,,,61512934
65,911342629,911342576,Matthew hk,727505.0,2019-08-18T08:44:07Z,27135,,,61512934
66,911342848,911342629,Matthew hk,727505.0,2019-08-18T08:46:14Z,27164,,,61512934
67,911343118,911342848,Matthew hk,727505.0,2019-08-18T08:49:01Z,27062,,,61512934
68,911343434,911343118,Matthew hk,727505.0,2019-08-18T08:51:53Z,27129,,,61512934
69,911486556,911343434,Phileo,327096.0,2019-08-19T05:13:34Z,27133,,,61512934
70,911488597,911486556,Phileo,327096.0,2019-08-19T05:39:48Z,27166,,,61512934
71,911844551,911488597,Matthew hk,727505.0,2019-08-21T14:37:08Z,27192,,,61512934
72,912097981,911844551,Owynhart,35395007.0,2019-08-23T07:11:49Z,27210,,,61512934
73,912223214,912097981,Mariogoods,34143604.0,2019-08-24T02:09:00Z,27227,,,61512934
74,912224961,912223214,AnomieBOT,7611264.0,2019-08-24T02:29:37Z,27244,,,61512934
75,912365739,912224961,65.60.163.223,0.0,2019-08-25T02:01:14Z,27453,True,,61512934
76,912367670,912365739,65.60.163.223,0.0,2019-08-25T02:23:36Z,27580,True,,61512934
77,912630060,912367670,222.167.122.158,0.0,2019-08-26T21:41:46Z,27634,True,,61512934
78,912827713,912630060,65.60.163.223,0.0,2019-08-28T03:58:47Z,29093,True,,61512934
79,912827967,912827713,65.60.163.223,0.0,2019-08-28T04:01:32Z,29153,True,,61512934
80,912829259,912827967,65.60.163.223,0.0,2019-08-28T04:17:19Z,30525,True,,61512934
81,912829309,912829259,65.60.163.223,0.0,2019-08-28T04:18:04Z,30526,True,,61512934
82,912829397,912829309,65.60.163.223,0.0,2019-08-28T04:19:09Z,30531,True,,61512934
83,912829545,912829397,65.60.163.223,0.0,2019-08-28T04:20:47Z,30544,True,,61512934
84,912829722,912829545,Tai Po Joe,36736629.0,2019-08-28T04:22:34Z,30509,,,61512934
85,912830043,912829722,Tai Po Joe,36736629.0,2019-08-28T04:25:45Z,30527,,,61512934
86,912830487,912830043,65.60.163.223,0.0,2019-08-28T04:30:47Z,30512,True,,61512934
87,912830567,912830487,Tai Po Joe,36736629.0,2019-08-28T04:31:35Z,30512,,,61512934
88,912830737,912830567,Tai Po Joe,36736629.0,2019-08-28T04:33:14Z,30506,,,61512934
89,912830852,912830737,Tai Po Joe,36736629.0,2019-08-28T04:34:14Z,30513,,,61512934
90,912926569,912830852,Matthew hk,727505.0,2019-08-28T19:35:49Z,30546,,,61512934
91,912927720,912926569,Matthew hk,727505.0,2019-08-28T19:44:11Z,30920,,,61512934
92,913132037,912927720,Newslinger,33467233.0,2019-08-30T03:03:11Z,30971,,,61512934
93,913669843,913132037,Matthew hk,727505.0,2019-09-02T14:00:16Z,30995,,,61512934
94,913670314,913669843,Matthew hk,727505.0,2019-09-02T14:03:48Z,31004,,,61512934
95,913835624,913670314,Sammylei,37269716.0,2019-09-03T14:30:06Z,31275,,,61512934
96,913946744,913835624,65.60.163.223,0.0,2019-09-04T06:15:02Z,32198,True,,61512934
97,913946916,913946744,65.60.163.223,0.0,2019-09-04T06:17:22Z,32204,True,,61512934
98,914155560,913946916,Sammylei,37269716.0,2019-09-05T14:32:01Z,35802,,,61512934
99,914156033,914155560,Sammylei,37269716.0,2019-09-05T14:34:43Z,35874,,,61512934
100,914317038,914156033,Ohconfucius,736651.0,2019-09-06T15:41:08Z,35874,,,61512934
101,914357455,914317038,DividedFrame,10531370.0,2019-09-06T22:50:28Z,35863,,,61512934
102,914357531,914357455,DividedFrame,10531370.0,2019-09-06T22:51:40Z,35863,,,61512934
103,914948938,914357531,Matthew hk,727505.0,2019-09-10T09:23:00Z,32193,,,61512934
104,914949106,914948938,Matthew hk,727505.0,2019-09-10T09:24:51Z,32310,,,61512934
105,914949136,914949106,Matthew hk,727505.0,2019-09-10T09:25:06Z,32311,,,61512934
106,914949217,914949136,Matthew hk,727505.0,2019-09-10T09:26:01Z,32321,,,61512934
107,914990812,914949217,80.111.44.144,0.0,2019-09-10T15:44:31Z,32329,True,,61512934
108,916059718,914990812,114.124.203.129,0.0,2019-09-16T19:36:08Z,31698,True,,61512934
109,916060563,916059718,114.124.203.129,0.0,2019-09-16T19:41:30Z,29793,True,,61512934
110,916060689,916060563,114.124.203.129,0.0,2019-09-16T19:42:15Z,29424,True,,61512934
111,916061491,916060689,LuK3,7264712.0,2019-09-16T19:46:58Z,32329,,,61512934
112,916061511,916061491,114.124.203.129,0.0,2019-09-16T19:47:05Z,27479,True,,61512934
113,916069716,916061511,Skywatcher68,1712722.0,2019-09-16T20:40:57Z,32329,,,61512934
114,916378047,916069716,Engardenhk,36899342.0,2019-09-18T16:13:15Z,32406,,,61512934
115,916713787,916378047,Winstonsmith1012,37258887.0,2019-09-20T07:15:38Z,36076,,,61512934
116,916801458,916713787,JJMC89 bot III,35936988.0,2019-09-20T18:18:43Z,36054,,,61512934
117,916989287,916801458,Matthew hk,727505.0,2019-09-21T18:45:23Z,32384,,,61512934
118,917090025,916989287,Matthew hk,727505.0,2019-09-22T06:20:51Z,32307,,,61512934
119,917160123,917090025,Ohconfucius,736651.0,2019-09-22T14:49:48Z,32299,,,61512934
120,919501463,917160123,MR.Christopher67,37506989.0,2019-10-04T02:15:05Z,32335,,,61512934
121,919877477,919501463,103.196.137.151,0.0,2019-10-06T10:51:11Z,32329,True,,61512934
122,920057278,919877477,CalDoesIt,29088029.0,2019-10-07T12:39:20Z,32335,,,61512934
123,920111733,920057278,Tinkering Gnome,37180982.0,2019-10-07T18:52:29Z,32442,,,61512934
124,920753593,920111733,Matthew hk,727505.0,2019-10-11T17:03:30Z,32478,,,61512934
125,920754286,920753593,Sajjadkazmi946,37567393.0,2019-10-11T17:08:48Z,32665,,,61512934
126,920757131,920754286,Matthew hk,727505.0,2019-10-11T17:29:35Z,32478,,,61512934
127,920778391,920757131,Johndavies837,31640924.0,2019-10-11T20:06:50Z,32442,,,61512934
128,922536926,920778391,206.15.233.104,0.0,2019-10-22T19:10:42Z,32449,True,,61512934
129,922537107,922536926,206.15.233.104,0.0,2019-10-22T19:12:07Z,32437,True,,61512934
130,922537150,922537107,206.15.233.104,0.0,2019-10-22T19:12:25Z,32442,True,,61512934
131,922615093,922537150,Beyondfubar,30884579.0,2019-10-23T07:02:59Z,32443,,,61512934
132,922733169,922615093,Matthew hk,727505.0,2019-10-23T23:26:35Z,32442,,,61512934
133,922733913,922733169,Matthew hk,727505.0,2019-10-23T23:35:07Z,32553,,,61512934
134,922734756,922733913,Matthew hk,727505.0,2019-10-23T23:43:41Z,32917,,,61512934
135,922734908,922734756,Matthew hk,727505.0,2019-10-23T23:45:17Z,32947,,,61512934
136,922735199,922734908,Matthew hk,727505.0,2019-10-23T23:48:14Z,32948,,,61512934
137,924515518,922735199,1233,16389211.0,2019-11-04T09:29:34Z,32988,,,61512934
138,924604257,924515518,Urbanizaditico,37752285.0,2019-11-04T21:22:57Z,32989,,,61512934
139,924671748,924604257,Matthew hk,727505.0,2019-11-05T06:43:16Z,32988,,,61512934
140,924787894,924671748,69.10.163.14,0.0,2019-11-05T23:10:53Z,33031,True,,61512934
141,924787905,924787894,ClueBot NG,13286072.0,2019-11-05T23:10:54Z,32988,,,61512934
142,924796432,924787905,240F:3F:5C20:1:5954:28C3:FB8E:C5BB,0.0,2019-11-06T00:21:00Z,32954,True,,61512934
143,924796479,924796432,Mgasparin,35445604.0,2019-11-06T00:21:28Z,32988,,,61512934
144,925049005,924796479,195.224.81.98,0.0,2019-11-07T14:42:10Z,32248,True,,61512934
145,925049224,925049005,James-the-Charizard,29306620.0,2019-11-07T14:44:02Z,32988,,,61512934
146,925307033,925049224,Sammycome,37788505.0,2019-11-09T06:21:20Z,33018,,,61512934
147,925307597,925307033,Sammycome,37788505.0,2019-11-09T06:29:44Z,32947,,,61512934
148,925352019,925307597,138.19.245.247,0.0,2019-11-09T15:22:15Z,33001,True,,61512934
149,925373400,925352019,Matthew hk,727505.0,2019-11-09T18:16:24Z,32947,,,61512934
150,925423959,925373400,Hong Kong Protests 𝕠𝕟 𝕎𝕙𝕖𝕖𝕝𝕤,37795139.0,2019-11-10T01:26:02Z,33155,,,61512934
151,925424056,925423959,Hong Kong Protests 𝕠𝕟 𝕎𝕙𝕖𝕖𝕝𝕤,37795139.0,2019-11-10T01:26:47Z,33195,,,61512934
152,925424084,925424056,MusikAnimal,14882394.0,2019-11-10T01:26:59Z,32947,,,61512934
153,925424885,925424084,,,2019-11-10T01:34:38Z,33195,,True,61512934
154,925424910,925424885,MusikAnimal,14882394.0,2019-11-10T01:34:51Z,32947,,,61512934
155,925532709,925424910,Richard-of-Earth,6320921.0,2019-11-10T19:04:02Z,32949,,,61512934
156,925533144,925532709,Matthew hk,727505.0,2019-11-10T19:07:36Z,32956,,,61512934
157,925533460,925533144,Matthew hk,727505.0,2019-11-10T19:10:05Z,33053,,,61512934
158,925533606,925533460,Matthew hk,727505.0,2019-11-10T19:11:07Z,33089,,,61512934
159,925750025,925533606,157.40.9.158,0.0,2019-11-12T02:24:08Z,33089,True,,61512934
160,925750947,925750025,2409:4060:200A:9327:851F:84F0:D042:EB67,0.0,2019-11-12T02:33:10Z,33089,True,,61512934
161,925940480,925750947,166.48.76.239,0.0,2019-11-13T07:30:14Z,33089,True,,61512934
162,926137870,925940480,112.118.227.83,0.0,2019-11-14T13:30:48Z,33050,True,,61512934
163,926137893,926137870,ToBeFree,16759563.0,2019-11-14T13:31:04Z,33089,,,61512934
164,927060766,926137893,2600:1700:1110:3C10:9C2B:B05C:C9DB:26A1,0.0,2019-11-20T02:39:12Z,33084,True,,61512934
165,927072356,927060766,2601:C6:4380:D730:18B8:BCDF:CD1B:3F6B,0.0,2019-11-20T04:29:26Z,33085,True,,61512934
166,927072451,927072356,2601:C6:4380:D730:18B8:BCDF:CD1B:3F6B,0.0,2019-11-20T04:30:15Z,33085,True,,61512934
167,927074059,927072451,Robertsky,1990013.0,2019-11-20T04:45:12Z,43032,,,61512934
168,927176100,927074059,85.255.234.240,0.0,2019-11-20T21:05:29Z,43072,True,,61512934
169,929870411,927176100,RealFakeKim,37247652.0,2019-12-08T19:47:10Z,39806,,,61512934
170,929870643,929870411,Matthew hk,727505.0,2019-12-08T19:48:43Z,43072,,,61512934
171,929871974,929870643,RealFakeKim,37247652.0,2019-12-08T19:57:53Z,45078,,,61512934
