,Pageview,Revision,Corr.
513,List of July 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.32208119886933356
328,Death of Chan Yin-lam,List of July 2019 Hong Kong protests,0.32044658117665004
346,Death of Chow Tsz-lok,Hong Kong–Mainland China conflict,0.3202425657633155
345,Death of Chow Tsz-lok,HKmap.live,0.3192809102725563
332,Death of Chan Yin-lam,List of protests in Hong Kong,0.31890100640939817
4,12 June 2019 Hong Kong protest,2019–20 Hong Kong protests,0.31740548046195766
137,2019 Yuen Long attack,Death of Chow Tsz-lok,0.31628028818970383
166,2019–20 Hong Kong protests,Death of Chow Tsz-lok,0.3153931966110577
168,2019–20 Hong Kong protests,Glory to Hong Kong,0.3152043866103209
156,2019 Yuen Long attack,Siege of the Hong Kong Polytechnic University,0.313735617550173
577,"One country, two systems",Storming of the Legislative Council Complex,0.31343934401612944
238,Carrie Lam,Police misconduct allegations during the 2019–20 Hong Kong protests,0.3128694463281556
139,2019 Yuen Long attack,Glory to Hong Kong,0.3123907683611909
277,Chinese University of Hong Kong conflict,Hong Kong–Mainland China conflict,0.3114225529462136
466,Lennon Wall (Hong Kong),List of September 2019 Hong Kong protests,0.31117716837391673
424,HKmap.live,Hong Kong–Mainland China conflict,0.309895218060098
245,Causes of the 2019–20 Hong Kong protests,Civil Human Rights Front,0.30959036605872925
310,Civil Human Rights Front,List of September 2019 Hong Kong protests,0.3094989708210723
322,Death of Chan Yin-lam,Government of Hong Kong,0.30887411473412885
239,Carrie Lam,Reactions to the 2019–20 Hong Kong protests,0.307250212331805
136,2019 Yuen Long attack,Death of Chan Yin-lam,0.3057219675457481
415,Government of Hong Kong,List of September 2019 Hong Kong protests,0.3039730472953127
459,Lennon Wall (Hong Kong),List of August 2019 Hong Kong protests,0.29957891437334133
56,2019 Hong Kong extradition bill,List of October 2019 Hong Kong protests,0.2991677106321357
431,HKmap.live,List of October 2019 Hong Kong protests,0.29661729741249854
427,HKmap.live,List of December 2019 Hong Kong protests,0.2966000397510709
76,2019 Hong Kong local elections,Death of Chow Tsz-lok,0.2960670265462212
464,Lennon Wall (Hong Kong),List of October 2019 Hong Kong protests,0.29431969808548436
376,Demosistō,List of September 2019 Hong Kong protests,0.29360549104796235
163,2019–20 Hong Kong protests,Chinese University of Hong Kong conflict,0.2934225607025652
114,2019 Prince Edward station attack,List of August 2019 Hong Kong protests,0.29322874480100736
389,Glory to Hong Kong,List of August 2019 Hong Kong protests,0.29056699983230005
455,Hong Kong–Mainland China conflict,Siege of the Hong Kong Polytechnic University,0.28879996559779614
96,2019 Hong Kong local elections,Storming of the Legislative Council Complex,0.2874407611586499
368,Demosistō,Lennon Wall (Hong Kong),0.28643242281957326
388,Glory to Hong Kong,Lennon Wall (Hong Kong),0.2846258787270177
55,2019 Hong Kong extradition bill,List of November 2019 Hong Kong protests,0.28398114609894626
259,Causes of the 2019–20 Hong Kong protests,List of October 2019 Hong Kong protests,0.28140167740396166
385,Glory to Hong Kong,Government of Hong Kong,0.28062451058267385
228,Carrie Lam,List of August 2019 Hong Kong protests,0.2803275582504864
87,2019 Hong Kong local elections,List of November 2019 Hong Kong protests,0.28027506666063906
298,Civil Human Rights Front,Glory to Hong Kong,0.27977643322600293
479,List of August 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.2792333630050184
487,List of August 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.27639288585256583
263,Causes of the 2019–20 Hong Kong protests,"One country, two systems",0.2715748565690562
185,2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.270894984924082
249,Causes of the 2019–20 Hong Kong protests,Glory to Hong Kong,0.26822028387172575
323,Death of Chan Yin-lam,HKmap.live,0.26737144809515573
9,12 June 2019 Hong Kong protest,Civil Human Rights Front,0.26564121585256606
541,List of October 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.2632272873947244
0,12 June 2019 Hong Kong protest,2019 Hong Kong extradition bill,0.2609677590330193
560,List of September 2019 Hong Kong protests,"One country, two systems",0.25996638990222465
44,2019 Hong Kong extradition bill,Death of Chow Tsz-lok,0.25955400474014256
501,List of December 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.2591520402494904
296,Civil Human Rights Front,Death of Chow Tsz-lok,0.25904318406587834
393,Glory to Hong Kong,List of November 2019 Hong Kong protests,0.2582229113315119
276,Chinese University of Hong Kong conflict,HKmap.live,0.2576199676459091
571,Murder of Poon Hiu-wing,Storming of the Legislative Council Complex,0.25756466099968983
13,12 June 2019 Hong Kong protest,Glory to Hong Kong,0.2564560474779994
307,Civil Human Rights Front,List of November 2019 Hong Kong protests,0.250161063138748
295,Civil Human Rights Front,Death of Chan Yin-lam,0.24764467324772646
235,Carrie Lam,List of September 2019 Hong Kong protests,0.2451167117943417
41,2019 Hong Kong extradition bill,Chinese University of Hong Kong conflict,0.24428231851560073
274,Chinese University of Hong Kong conflict,Glory to Hong Kong,0.23972610510249726
324,Death of Chan Yin-lam,Hong Kong–Mainland China conflict,0.23841660370361825
343,Death of Chow Tsz-lok,Glory to Hong Kong,0.23672717087320952
566,List of September 2019 Hong Kong protests,Umbrella Movement,0.23625443803122947
63,2019 Hong Kong extradition bill,Siege of the Hong Kong Polytechnic University,0.23453599353487367
438,HKmap.live,Siege of the Hong Kong Polytechnic University,0.23451739876317793
170,2019–20 Hong Kong protests,HKmap.live,0.23292742483201206
254,Causes of the 2019–20 Hong Kong protests,List of August 2019 Hong Kong protests,0.23020764654440704
549,List of October 2019 Hong Kong protests,Umbrella Movement,0.22851622836323168
129,2019 Prince Edward station attack,Umbrella Movement,0.22702823927818386
398,Glory to Hong Kong,"One country, two systems",0.22495967224613922
165,2019–20 Hong Kong protests,Death of Chan Yin-lam,0.22394121385806326
593,Storming of the Legislative Council Complex,Umbrella Movement,0.22270108235711183
280,Chinese University of Hong Kong conflict,List of December 2019 Hong Kong protests,0.21987446787098489
401,Glory to Hong Kong,Siege of the Hong Kong Polytechnic University,0.21980954214171894
141,2019 Yuen Long attack,HKmap.live,0.21955302562038764
287,Chinese University of Hong Kong conflict,Murder of Poon Hiu-wing,0.2193027449064898
515,List of July 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.2191953550172323
321,Death of Chan Yin-lam,Glory to Hong Kong,0.2183817779957831
241,Carrie Lam,Storming of the Legislative Council Complex,0.21770660541651474
405,Government of Hong Kong,HKmap.live,0.21765533299226283
77,2019 Hong Kong local elections,Demosistō,0.21752101335369886
270,Chinese University of Hong Kong conflict,Civil Human Rights Front,0.21677758380501497
128,2019 Prince Edward station attack,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.2163818770701854
592,Storming of the Legislative Council Complex,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.2159604103540984
382,Demosistō,Storming of the Legislative Council Complex,0.21590314588749573
46,2019 Hong Kong extradition bill,Glory to Hong Kong,0.21554884005281738
533,List of November 2019 Hong Kong protests,"One country, two systems",0.2155034858527196
27,12 June 2019 Hong Kong protest,"One country, two systems",0.2133446421032061
113,2019 Prince Edward station attack,Lennon Wall (Hong Kong),0.21270577584958883
364,Demosistō,Glory to Hong Kong,0.20983676546221453
357,Death of Chow Tsz-lok,"One country, two systems",0.20484419314920677
102,2019 Prince Edward station attack,Carrie Lam,0.20282291223597995
300,Civil Human Rights Front,HKmap.live,0.201027913285612
233,Carrie Lam,List of October 2019 Hong Kong protests,0.20086702872947415
86,2019 Hong Kong local elections,List of March–June 2019 Hong Kong protests,0.20035960682341133
491,List of December 2019 Hong Kong protests,List of March–June 2019 Hong Kong protests,0.20034161893348917
521,List of March–June 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.19994358849370059
288,Chinese University of Hong Kong conflict,"One country, two systems",0.19983397647018722
217,Carrie Lam,Causes of the 2019–20 Hong Kong protests,0.1976733742651045
269,Causes of the 2019–20 Hong Kong protests,Umbrella Movement,0.1971166210150274
404,Glory to Hong Kong,Umbrella Movement,0.1959292787052657
478,List of August 2019 Hong Kong protests,List of November 2019 Hong Kong protests,0.19505265407834183
315,Civil Human Rights Front,Siege of the Hong Kong Polytechnic University,0.19493897644872038
89,2019 Hong Kong local elections,List of protests in Hong Kong,0.19327841360185447
386,Glory to Hong Kong,HKmap.live,0.19185060761938091
576,"One country, two systems",Siege of the Hong Kong Polytechnic University,0.19159383367393526
548,List of October 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.19155281139352892
570,Murder of Poon Hiu-wing,Siege of the Hong Kong Polytechnic University,0.19145705622624254
108,2019 Prince Edward station attack,Demosistō,0.1891050044664697
273,Chinese University of Hong Kong conflict,Demosistō,0.18867118404807265
500,List of December 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.18827164015728226
583,Police misconduct allegations during the 2019–20 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.18808959272495393
12,12 June 2019 Hong Kong protest,Demosistō,0.18759677130366081
208,Art of the 2019–20 Hong Kong protests,List of September 2019 Hong Kong protests,0.1870815093942775
248,Causes of the 2019–20 Hong Kong protests,Demosistō,0.18701071410444556
568,Murder of Poon Hiu-wing,Police misconduct allegations during the 2019–20 Hong Kong protests,0.18668880907603408
472,Lennon Wall (Hong Kong),Storming of the Legislative Council Complex,0.18543955493565795
93,2019 Hong Kong local elections,Police misconduct allegations during the 2019–20 Hong Kong protests,0.18239006258456725
498,List of December 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.18223171440048944
381,Demosistō,Siege of the Hong Kong Polytechnic University,0.18111745682061764
529,List of November 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.17861445874037354
48,2019 Hong Kong extradition bill,HKmap.live,0.17834483587475594
373,Demosistō,List of November 2019 Hong Kong protests,0.17744270499075088
85,2019 Hong Kong local elections,List of July 2019 Hong Kong protests,0.17695409962542502
527,List of March–June 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.17626731058899361
342,Death of Chow Tsz-lok,Demosistō,0.1724821904385637
232,Carrie Lam,List of November 2019 Hong Kong protests,0.1722247339372912
71,2019 Hong Kong local elections,Carrie Lam,0.17196271763954976
569,Murder of Poon Hiu-wing,Reactions to the 2019–20 Hong Kong protests,0.17165303554788794
435,HKmap.live,"One country, two systems",0.1713487175621258
499,List of December 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.17042002864545572
94,2019 Hong Kong local elections,Reactions to the 2019–20 Hong Kong protests,0.169025843409431
374,Demosistō,List of October 2019 Hong Kong protests,0.1683190105867815
43,2019 Hong Kong extradition bill,Death of Chan Yin-lam,0.1674186069371641
18,12 June 2019 Hong Kong protest,List of August 2019 Hong Kong protests,0.16476629976300805
304,Civil Human Rights Front,List of December 2019 Hong Kong protests,0.16349624603556312
121,2019 Prince Edward station attack,List of September 2019 Hong Kong protests,0.16262443786214964
539,List of November 2019 Hong Kong protests,Umbrella Movement,0.16174395137607506
6,12 June 2019 Hong Kong protest,Carrie Lam,0.16110335265568348
33,12 June 2019 Hong Kong protest,Umbrella Movement,0.1599192769834083
67,2019 Hong Kong local elections,2019 Prince Edward station attack,0.15923309733777843
348,Death of Chow Tsz-lok,List of August 2019 Hong Kong protests,0.1588348061196676
311,Civil Human Rights Front,Murder of Poon Hiu-wing,0.1532491503458596
335,Death of Chan Yin-lam,"One country, two systems",0.15236857631312825
74,2019 Hong Kong local elections,Civil Human Rights Front,0.15173142954274607
279,Chinese University of Hong Kong conflict,List of August 2019 Hong Kong protests,0.15122121190138862
294,Chinese University of Hong Kong conflict,Umbrella Movement,0.15077554498258214
363,Death of Chow Tsz-lok,Umbrella Movement,0.1507697045873452
122,2019 Prince Edward station attack,Murder of Poon Hiu-wing,0.1492844327063703
221,Carrie Lam,Death of Chow Tsz-lok,0.14850845499229945
218,Carrie Lam,Chinese University of Hong Kong conflict,0.14799586125873543
426,HKmap.live,List of August 2019 Hong Kong protests,0.14790591322867688
253,Causes of the 2019–20 Hong Kong protests,Lennon Wall (Hong Kong),0.14722662562685762
115,2019 Prince Edward station attack,List of December 2019 Hong Kong protests,0.14671653572406218
551,List of protests in Hong Kong,Murder of Poon Hiu-wing,0.14654292314476206
587,Reactions to the 2019–20 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.1451369568389712
591,Siege of the Hong Kong Polytechnic University,Umbrella Movement,0.14349490295731473
320,Death of Chan Yin-lam,Demosistō,0.14251344532131455
564,List of September 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.14041044766092256
494,List of December 2019 Hong Kong protests,List of protests in Hong Kong,0.13886454285359248
81,2019 Hong Kong local elections,Hong Kong–Mainland China conflict,0.13858280544821863
240,Carrie Lam,Siege of the Hong Kong Polytechnic University,0.13800011647510213
223,Carrie Lam,Glory to Hong Kong,0.13767240091787178
72,2019 Hong Kong local elections,Causes of the 2019–20 Hong Kong protests,0.1357443553037475
261,Causes of the 2019–20 Hong Kong protests,List of September 2019 Hong Kong protests,0.13291956861801674
326,Death of Chan Yin-lam,List of August 2019 Hong Kong protests,0.13201004837431518
486,List of August 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.13116114106076726
403,Glory to Hong Kong,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.13013278746572216
532,List of November 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.12782904444848078
509,List of July 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.1256557627096094
490,List of December 2019 Hong Kong protests,List of July 2019 Hong Kong protests,0.1255790611421887
492,List of December 2019 Hong Kong protests,List of November 2019 Hong Kong protests,0.12516119185924865
92,2019 Hong Kong local elections,"One country, two systems",0.12326363516977576
463,Lennon Wall (Hong Kong),List of November 2019 Hong Kong protests,0.12102762901232443
557,List of protests in Hong Kong,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.12042156689869224
441,HKmap.live,Umbrella Movement,0.11874616597041834
341,Death of Chan Yin-lam,Umbrella Movement,0.11843791656056686
78,2019 Hong Kong local elections,Glory to Hong Kong,0.11724418394020505
220,Carrie Lam,Death of Chan Yin-lam,0.11649274408095178
268,Causes of the 2019–20 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.11527354300145289
457,Hong Kong–Mainland China conflict,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.1119405748767484
278,Chinese University of Hong Kong conflict,Lennon Wall (Hong Kong),0.11107571617142618
23,12 June 2019 Hong Kong protest,List of October 2019 Hong Kong protests,0.1107274903528903
17,12 June 2019 Hong Kong protest,Lennon Wall (Hong Kong),0.10904459795350785
69,2019 Hong Kong local elections,2019–20 Hong Kong protests,0.1062665182604114
353,Death of Chow Tsz-lok,List of October 2019 Hong Kong protests,0.10605500061973716
347,Death of Chow Tsz-lok,Lennon Wall (Hong Kong),0.10546515229267536
284,Chinese University of Hong Kong conflict,List of October 2019 Hong Kong protests,0.10472906154991306
187,2019–20 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.10137465869563873
225,Carrie Lam,HKmap.live,0.10076996740775783
531,List of November 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.09887663229394418
471,Lennon Wall (Hong Kong),Siege of the Hong Kong Polytechnic University,0.09830133938555186
397,Glory to Hong Kong,Murder of Poon Hiu-wing,0.0952419685392076
98,2019 Hong Kong local elections,Umbrella Movement,0.09459985102319872
390,Glory to Hong Kong,List of December 2019 Hong Kong protests,0.09330993066002825
425,HKmap.live,Lennon Wall (Hong Kong),0.09327508765125919
317,Civil Human Rights Front,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.09131442493382916
366,Demosistō,HKmap.live,0.08998927112120728
546,List of October 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.08891452461651617
158,2019 Yuen Long attack,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.08685627108881208
34,2019 Hong Kong extradition bill,2019 Hong Kong local elections,0.08655416977458154
538,List of November 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.08474318754561892
25,12 June 2019 Hong Kong protest,List of September 2019 Hong Kong protests,0.08398384948491215
331,Death of Chan Yin-lam,List of October 2019 Hong Kong protests,0.0839099107785653
325,Death of Chan Yin-lam,Lennon Wall (Hong Kong),0.08362824965628662
409,Government of Hong Kong,List of December 2019 Hong Kong protests,0.08225751766338958
262,Causes of the 2019–20 Hong Kong protests,Murder of Poon Hiu-wing,0.08205550489175666
286,Chinese University of Hong Kong conflict,List of September 2019 Hong Kong protests,0.08192585840222237
451,Hong Kong–Mainland China conflict,Murder of Poon Hiu-wing,0.08127167409059119
255,Causes of the 2019–20 Hong Kong protests,List of December 2019 Hong Kong protests,0.08076718021424684
416,Government of Hong Kong,Murder of Poon Hiu-wing,0.08025606750475658
444,Hong Kong–Mainland China conflict,List of December 2019 Hong Kong protests,0.07980963826046018
174,2019–20 Hong Kong protests,List of December 2019 Hong Kong protests,0.07965377862513559
181,2019–20 Hong Kong protests,Murder of Poon Hiu-wing,0.07920989927024095
355,Death of Chow Tsz-lok,List of September 2019 Hong Kong protests,0.079108341752209
422,Government of Hong Kong,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.07797443486350254
440,HKmap.live,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.07628096433979525
32,12 June 2019 Hong Kong protest,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.07578494188460182
488,List of August 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.07460599028741675
362,Death of Chow Tsz-lok,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.07448552468886951
433,HKmap.live,List of September 2019 Hong Kong protests,0.07413311764068212
145,2019 Yuen Long attack,List of December 2019 Hong Kong protests,0.07341687904628084
152,2019 Yuen Long attack,Murder of Poon Hiu-wing,0.07304050537689395
473,Lennon Wall (Hong Kong),Tactics and methods surrounding the 2019–20 Hong Kong protests,0.07222354886539174
293,Chinese University of Hong Kong conflict,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.07118244893799665
65,2019 Hong Kong extradition bill,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.07052741051871617
333,Death of Chan Yin-lam,List of September 2019 Hong Kong protests,0.06966535629998466
563,List of September 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.06901707533226384
80,2019 Hong Kong local elections,HKmap.live,0.06890874952063608
204,Art of the 2019–20 Hong Kong protests,List of March–June 2019 Hong Kong protests,0.06839347830382148
83,2019 Hong Kong local elections,List of August 2019 Hong Kong protests,0.06526935981230238
82,2019 Hong Kong local elections,Lennon Wall (Hong Kong),0.06462603279843478
590,Siege of the Hong Kong Polytechnic University,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.06444838763588455
565,List of September 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.06430136477755795
578,"One country, two systems",Tactics and methods surrounding the 2019–20 Hong Kong protests,0.06264442832676546
212,Art of the 2019–20 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.06052236305054566
482,List of August 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.05955995904123278
475,List of August 2019 Hong Kong protests,List of December 2019 Hong Kong protests,0.05907273922183684
203,Art of the 2019–20 Hong Kong protests,List of July 2019 Hong Kong protests,0.058858409143665066
383,Demosistō,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.05824729752694668
211,Art of the 2019–20 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.0582461870141854
340,Death of Chan Yin-lam,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.054486401290556825
201,Art of the 2019–20 Hong Kong protests,List of August 2019 Hong Kong protests,0.04835336491786093
567,Murder of Poon Hiu-wing,"One country, two systems",0.046652191879004504
88,2019 Hong Kong local elections,List of October 2019 Hong Kong protests,0.0466278416551803
200,Art of the 2019–20 Hong Kong protests,Lennon Wall (Hong Kong),0.04628948929442446
497,List of December 2019 Hong Kong protests,"One country, two systems",0.04614439306673645
594,Tactics and methods surrounding the 2019–20 Hong Kong protests,Umbrella Movement,0.04404114250023304
573,Murder of Poon Hiu-wing,Umbrella Movement,0.043363771994595894
59,2019 Hong Kong extradition bill,Murder of Poon Hiu-wing,0.04333213390055563
503,List of December 2019 Hong Kong protests,Umbrella Movement,0.04277464589864247
52,2019 Hong Kong extradition bill,List of December 2019 Hong Kong protests,0.04260564311077699
242,Carrie Lam,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.04204914757522438
90,2019 Hong Kong local elections,List of September 2019 Hong Kong protests,0.03782304627390826
91,2019 Hong Kong local elections,Murder of Poon Hiu-wing,0.03212290603755832
559,List of September 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.031943138984806996
495,List of December 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.03166173048638486
542,List of October 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.031003295416399523
84,2019 Hong Kong local elections,List of December 2019 Hong Kong protests,0.030970553658823705
493,List of December 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.030439916824034127
207,Art of the 2019–20 Hong Kong protests,List of protests in Hong Kong,0.029967388311560702
97,2019 Hong Kong local elections,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.029679426024076496
160,2019–20 Hong Kong protests,Art of the 2019–20 Hong Kong protests,0.02885636162179191
467,Lennon Wall (Hong Kong),Murder of Poon Hiu-wing,0.026210195502064246
131,2019 Yuen Long attack,Art of the 2019–20 Hong Kong protests,0.026000456675940295
460,Lennon Wall (Hong Kong),List of December 2019 Hong Kong protests,0.025852719181662005
192,Art of the 2019–20 Hong Kong protests,Civil Human Rights Front,0.025045534626830315
377,Demosistō,Murder of Poon Hiu-wing,0.0206321178445915
197,Art of the 2019–20 Hong Kong protests,Government of Hong Kong,0.020463530987429944
216,Art of the 2019–20 Hong Kong protests,Umbrella Movement,0.019803817631158557
370,Demosistō,List of December 2019 Hong Kong protests,0.01976117636667262
236,Carrie Lam,Murder of Poon Hiu-wing,0.019482015591184794
229,Carrie Lam,List of December 2019 Hong Kong protests,0.019364291965876076
572,Murder of Poon Hiu-wing,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.018218155733875013
502,List of December 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.018091311147056
195,Art of the 2019–20 Hong Kong protests,Demosistō,0.017707643005496997
199,Art of the 2019–20 Hong Kong protests,Hong Kong–Mainland China conflict,0.016691850988719115
210,Art of the 2019–20 Hong Kong protests,"One country, two systems",0.014732498774090016
38,2019 Hong Kong extradition bill,Art of the 2019–20 Hong Kong protests,0.012369746350079135
189,Art of the 2019–20 Hong Kong protests,Carrie Lam,0.009441385729474264
202,Art of the 2019–20 Hong Kong protests,List of December 2019 Hong Kong protests,0.0051658058665478975
209,Art of the 2019–20 Hong Kong protests,Murder of Poon Hiu-wing,0.004385990613016055
215,Art of the 2019–20 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.0028813057386493823
190,Art of the 2019–20 Hong Kong protests,Causes of the 2019–20 Hong Kong protests,0.0027222235588158696
193,Art of the 2019–20 Hong Kong protests,Death of Chan Yin-lam,0.0022685248823634046
194,Art of the 2019–20 Hong Kong protests,Death of Chow Tsz-lok,0.0003350193672887329
5,12 June 2019 Hong Kong protest,Art of the 2019–20 Hong Kong protests,3.3795365044255245e-05
70,2019 Hong Kong local elections,Art of the 2019–20 Hong Kong protests,3.106992921900181e-05
213,Art of the 2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,-0.0007525705421337367
191,Art of the 2019–20 Hong Kong protests,Chinese University of Hong Kong conflict,-0.0010168783697892092
198,Art of the 2019–20 Hong Kong protests,HKmap.live,-0.0011413870536582538
101,2019 Prince Edward station attack,Art of the 2019–20 Hong Kong protests,-0.001449371074649508
214,Art of the 2019–20 Hong Kong protests,Storming of the Legislative Council Complex,-0.001474132081803009
205,Art of the 2019–20 Hong Kong protests,List of November 2019 Hong Kong protests,-0.002118664504800842
206,Art of the 2019–20 Hong Kong protests,List of October 2019 Hong Kong protests,-0.002205134513114458
